county_norm,lat,lon
Runnels,31.79918,-99.99361
Rusk,32.194387,-94.798485
Sabine,31.339019,-93.84941
San Augustine,31.441095,-94.152849
San Jacinto,30.549124,-95.13469
San Patricio,27.942669,-97.39104
San Saba,31.188156,-98.760354
Schleicher,30.869698,-100.592817
Scurry,32.704112,-100.909103
Shackelford,32.690986,-99.306244
Shelby,31.823503,-94.181492
Sherman,36.33275,-102.008261
Smith,32.326145,-95.300981
Somervell,32.234974,-97.752235
Starr,26.387766,-98.843415
Stephens,32.75621,-98.902179
Sterling,31.83476,-100.993285
Stonewall,33.144536,-100.232471
Sutton,30.563302,-100.627673
Swisher,34.532201,-101.771575
Tarrant,32.764453,-97.247663
Taylor,32.417775,-99.767126
Terrell,30.160108,-102.352197
Terry,33.182705,-102.271846
Throckmorton,33.141356,-99.139569
Titus,33.175862,-94.966537
Tom Green,31.451021,-100.461171
Travis,30.314282,-97.748216
Trinity,30.998905,-95.244685
Tyler,30.738682,-94.367741
Upshur,32.697929,-94.92227
Upton,31.180959,-102.124982
Uvalde,29.243318,-99.757846
Val Verde,29.380944,-100.898072
Van Zandt,32.577505,-95.837646
Victoria,28.825017,-96.991571
Walker,30.725832,-95.538696
Waller,29.996824,-95.953615
Ward,31.56929,-102.912603
Washington,30.181502,-96.397834
Webb,27.522979,-99.475549
Wharton,29.276712,-96.175435
Wheeler,35.352532,-100.263458
Wichita,33.920901,-98.552501
Wilbarger,34.144872,-99.296953
Willacy,26.452376,-97.777449
Williamson,30.560987,-97.716991
Wilson,29.231356,-98.142982
Winkler,31.842332,-103.0992
Wise,33.161791,-97.629879
Wood,32.776047,-95.400092
Yoakum,33.022609,-102.833127
Young,33.164283,-98.624184
Zapata,26.903441,-99.266007
Zavala,28.74941,-99.810168
